"model_version_id","analysis_taxon_id","unit_label","analysis_role","region","outcome","term","exposed_model_rows"
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",57
"SOG_EVENT_STUDY_v1","atx_04cf65098f13","Red-throated Loon","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",177
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_near_baseline",8077
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_reference_baseline",25992
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_near_early_pre",4512
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_reference_early_pre",15467
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_near_immediate_pre",4587
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_reference_immediate_pre",15169
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_near_spawn_start",2992
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_reference_spawn_start",9759
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_near_early_egg",7018
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_reference_early_egg",22927
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_near_late_egg",8712
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","detection","es_reference_late_egg",28655
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",514
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",742
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",239
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",458
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",266
