effort_frame,period_id,region,event_time_stratum,distance_stratum,independent_events,herring_source_events,unique_observer_clusters,unique_generalized_locations,suppressed_below_20
high_spatial_precision,complete_1988_2025,A2W,spawn_start,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,A2W,spawn_start,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,spawn_start,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,A2W,spawn_start,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,A2W,early_egg,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,A2W,late_egg,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,A2W,post,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_5_10,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_pre,ring_10_20,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_5_10,88,27,48,23,false
high_spatial_precision,complete_1988_2025,CC,immediate_pre,ring_10_20,132,91,79,38,false
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_5_10,43,22,26,13,false
